Year,Model Name,Categorization Test,Null Test,Polarity Test
1950,Naive Bayes Model,0.6182432432432432,0.8400900900900901,0.8851351351351351
1960,Naive Bayes Model,0.6151419558359621,0.8484210526315791,0.8675078864353313
1970,Naive Bayes Model,0.5611285266457681,0.8158995815899581,0.8683385579937304
1980,Naive Bayes Model,0.5887850467289719,0.8024948024948025,0.8411214953271028
1990,Naive Bayes Model,0.5565749235474006,0.8163265306122449,0.8287461773700305
1800,FDA Model,0.6571428571428571,0.8095238095238095,0.8761904761904762
1810,FDA Model,0.6755555555555556,0.7863501483679525,0.8711111111111111
1820,FDA Model,0.6451612903225806,0.803763440860215,0.8467741935483871
1830,FDA Model,0.6456692913385826,0.8267716535433071,0.8897637795275591
1840,FDA Model,0.6896551724137931,0.8260869565217391,0.8773946360153256
1850,FDA Model,0.6544117647058824,0.8382352941176471,0.8897058823529411
1860,FDA Model,0.6592592592592592,0.8222222222222222,0.8925925925925926
1870,FDA Model,0.6568265682656826,0.8423645320197044,0.8819188191881919
1880,FDA Model,0.6515679442508711,0.8581395348837209,0.8710801393728222
1890,FDA Model,0.6872852233676976,0.8279816513761468,0.9072164948453608
1900,FDA Model,0.6993243243243243,0.7972972972972973,0.8682432432432432
1910,FDA Model,0.6458333333333334,0.8263888888888888,0.90625
1920,FDA Model,0.6724738675958188,0.8372093023255814,0.89198606271777
1930,FDA Model,0.6132404181184669,0.8302325581395349,0.8606271777003485
1940,FDA Model,0.6524822695035462,0.8156028368794326,0.8617021276595744
1950,FDA Model,0.5709459459459459,0.8423423423423423,0.8581081081081081
1960,FDA Model,0.6561514195583596,0.8357894736842105,0.8738170347003155
1970,FDA Model,0.6018808777429467,0.8347280334728033,0.8463949843260188
1980,FDA Model,0.5950155763239875,0.7900207900207901,0.838006230529595
1990,FDA Model,0.5596330275229358,0.8285714285714286,0.8195718654434251
1800,Exemplar,0.6428571428571429,0.8417266187050358,0.8666666666666667
1810,Exemplar,0.6977777777777778,0.8557046979865772,0.8666666666666667
1820,Exemplar,0.6774193548387096,0.8682634730538922,0.8790322580645161
1830,Exemplar,0.6417322834645669,0.8567251461988304,0.8858267716535433
1840,Exemplar,0.7049808429118773,0.8668555240793201,0.8812260536398467
1850,Exemplar,0.6691176470588235,0.8826666666666667,0.8933823529411765
1860,Exemplar,0.6814814814814815,0.8490566037735849,0.8925925925925926
1870,Exemplar,0.6789667896678967,0.8770053475935828,0.8892988929889298
1880,Exemplar,0.6724738675958188,0.8603491271820449,0.8989547038327527
1890,Exemplar,0.6735395189003437,0.8758949880668258,0.9003436426116839
1900,Exemplar,0.6722972972972973,0.8618266978922716,0.8918918918918919
1910,Exemplar,0.6493055555555556,0.8365384615384616,0.8923611111111112
1920,Exemplar,0.6898954703832753,0.8526570048309179,0.902439024390244
1930,Exemplar,0.6724738675958188,0.8707317073170732,0.8815331010452961
1940,Exemplar,0.6773049645390071,0.8796068796068796,0.8794326241134752
1950,Exemplar,0.6182432432432432,0.8551401869158879,0.8614864864864865
1960,Exemplar,0.6340694006309149,0.8527472527472527,0.8548895899053628
1970,Exemplar,0.6269592476489029,0.8549783549783551,0.8589341692789969
1980,Exemplar,0.6292834890965732,0.8046709129511678,0.8504672897196262
1990,Exemplar,0.5840978593272171,0.8121085594989561,0.8256880733944955
