,Categorization Test,Model Name,Null Test,Polarity Test,Year
70,0.6993243243243243,FDA Model,0.7972972972972973,0.8682432432432432,1900
71,0.6458333333333334,FDA Model,0.8263888888888888,0.90625,1910
72,0.6724738675958188,FDA Model,0.8372093023255814,0.89198606271777,1920
73,0.6132404181184669,FDA Model,0.8302325581395349,0.8606271777003485,1930
74,0.6524822695035462,FDA Model,0.8156028368794326,0.8617021276595744,1940
75,0.5709459459459459,FDA Model,0.8423423423423423,0.8581081081081081,1950
76,0.6561514195583596,FDA Model,0.8357894736842105,0.8738170347003155,1960
77,0.6018808777429467,FDA Model,0.8347280334728033,0.8463949843260188,1970
78,0.5950155763239875,FDA Model,0.7900207900207901,0.838006230529595,1980
79,0.5596330275229358,FDA Model,0.8285714285714286,0.8195718654434251,1990
