word,count,frequency
information,94921035,0.039100331098443936
development,111419864,0.03898944992003597
art,65051414,0.03874355575182648
language,64095663,0.03870589954783565
office,66260205,0.03836071378362977
ground,50351645,0.038354016953310296
child,78130367,0.03824972150588095
mother,67817773,0.03783636086309836
authority,48310936,0.03779653536027022
earth,45006767,0.03774503261651148
religion,38144485,0.03740078663068965
opinion,42978241,0.03734838025373302
process,90788429,0.036928145257057926
table,85646367,0.036664265584153526
group,105878234,0.03640505322931042
moment,51919714,0.03630493737684679
education,82581958,0.03596437520178545
peace,43422018,0.03576568684712055
influence,50951366,0.035670113164121664
object,41832326,0.03555308603394301
room,64359752,0.03544613446489287
length,43838572,0.035224551422329275
university,93463891,0.03498342146414211
works,47102652,0.03498320782250769
sea,47560806,0.03482063796752272
terms,71135622,0.03459365618033078
attention,50460821,0.03453971753963583
figure,86131563,0.03445358306482386
laws,43280062,0.03440122424644041
property,55628482,0.03437605131338411
blood,51926520,0.03428773583806773
general,52554553,0.03421205162800158
study,85127989,0.034011591300919825
century,69881666,0.03393488948876504
degree,45100461,0.033873042024766285
evidence,60837501,0.03384345556185381
respect,44692663,0.03377300519798295
faith,36115839,0.033746431053027846
friend,39670590,0.03372374698486704
condition,48634801,0.032911684264238815
change,65942710,0.03285228107156622
woman,61976867,0.032769711849990696
field,68368385,0.03273071604840867
idea,55088302,0.03254359193208953
surface,58688861,0.03185210266296622
result,65652360,0.03180663798785207
class,64721010,0.031770396831259505
circumstances,34601106,0.031664255092446
trade,59926405,0.03144625309088656
conditions,76444375,0.03093855842567952
morning,41197048,0.03087191994962136
face,54057319,0.03084505447744446
wife,47631727,0.030816506834650516
council,48034208,0.030761871103412847
policy,72933674,0.030750714055248502
author,39139154,0.030630421596850654
section,76104578,0.030550635478880643
experience,62486993,0.030383215156391984
amount,59469835,0.03015310717989552
situation,54057676,0.029739404163258782
right,45554586,0.029331614300171678
method,63050592,0.029234384244610834
control,82756560,0.029142431259952944
rate,72645308,0.029102477945081796
care,48484571,0.029068424049935634
america,54750889,0.029020751669393344
duty,30500731,0.02887165180771357
fire,39822601,0.02882476754748321
rest,38366416,0.028653022542504757
justice,34968092,0.02863245509020487
principle,38572890,0.028188407249469388
area,80960379,0.028061795561123752
union,54453633,0.027993983980262354
distance,36401260,0.027911166655607427
practice,47716619,0.027907366932336482
james,41511616,0.027835130348902358
nation,35893292,0.027815049471025803
health,58226510,0.027713522522788574
data,86163595,0.027577876021110843
species,42801379,0.027538573722806603
president,58278929,0.02749042699698185
paper,53134011,0.027485850224877244
master,30961708,0.027382537158132183
hours,47095569,0.027242534444273454
henry,34834961,0.027152083173222288
soul,29941099,0.027116728518739818
level,71643770,0.027088211645927944
capital,50499735,0.027080562674734427
lady,28644510,0.026932488203325278
population,57539071,0.026929708455880323
effects,51476766,0.026913685046111677
letters,35933752,0.026755917217560054
science,54148266,0.026709345190595223
prince,23279302,0.026665670472644603
enemy,26632754,0.026665573248119603
food,53978695,0.02664873704056232
europe,41836948,0.026581758136516503
march,43870605,0.02646866701524374
c,57372639,0.02633559936579716
charles,36175906,0.02633479710500187
importance,44656474,0.02630537609826913
price,49998248,0.02628623824794164
arms,31903930,0.02615724575033188
plan,47617297,0.02613909198796749
strength,37036667,0.025989109696664944
problem,77522317,0.025965617958269602
board,48148900,0.025961903037225596
theory,63162677,0.025878805588815494
committee,52219880,0.02582010543689628
production,67495547,0.02578601911608175
iii,34912745,0.025652790947138966
extent,41108678,0.025528972877823543
parliament,22257205,0.025520263205211453
direction,41814750,0.025431211570359564
none,32635380,0.02541252327959715
queen,23818326,0.025284282486410594
loss,41966958,0.02523013226181296
island,32043702,0.02495877018475545
occasion,22520756,0.024932263360350194
press,66922383,0.02477311661572012
success,36663584,0.02474797359002923
appearance,28118263,0.024733804436131882
type,68923369,0.024628041097770264
road,39504462,0.024613008499420788
existence,37406106,0.02452434125801494
brother,30163717,0.02448592916442469
difference,43478917,0.0243442892297827
rule,42919736,0.02433508499710244
college,46426468,0.02430922517635428
size,49584804,0.024138349111532037
one,39951297,0.023968471462562063
county,37467694,0.02396637878376001
north,42022918,0.023922369733766772
eye,30376912,0.023888579151629733
doubt,31278413,0.023852747988937106
material,56966410,0.023735326400495017
story,48528215,0.023689417648351096
treatment,54542123,0.023634425814541116
instance,33950013,0.023608412395953824
george,39581335,0.023530036550356345
presence,38639978,0.023498024477401194
conduct,20015525,0.02338015113675405
cent,52825597,0.02331964984014494
voice,36791458,0.023256985303232128
report,48645760,0.02318623176143677
kingdom,21884908,0.023057963547340365
disease,41860231,0.023045856736737196
community,57897739,0.023033457456481013
series,49937579,0.02302497927318165
research,71012402,0.022967155904748186
fig,54150411,0.022920240627034332
heaven,19431074,0.022870858858635563
sun,31116384,0.022862386326704676
structure,57089069,0.022836422040587057
hour,30008510,0.02283014914597072
growth,57456558,0.022815491888368747
bishop,19166439,0.022701276034918488
judgment,25736691,0.022664845728214002
bank,42238504,0.022632867770835032
portion,26767796,0.022614095714348626
minister,34719589,0.02259499156340153
space,45051128,0.02257673860599987
regard,26595654,0.02250232279266503
jesus,26183720,0.022436244333104247
duke,16763906,0.022403167939266604
support,45791028,0.02233205585920977
south,45523412,0.02232381603940717
constitution,28996134,0.022164203556284977
term,42454929,0.022142300082125227
troops,23673024,0.022109937416638237
bill,31858540,0.022093756683544675
india,41876401,0.02205757935435865
west,41412159,0.022056219250805188
b,49410550,0.022007951115097298
operation,40568999,0.021852210244486484
may,40602084,0.021790386084456152
progress,31219129,0.021704126074042592
energy,54174302,0.021687236089470926
captain,23966092,0.02163918157103023
return,30997969,0.021633306557637157
services,49244559,0.021629925117951733
street,41172109,0.02159627979553338
thomas,33377525,0.021512220752823382
movement,53194175,0.021465949180205956
june,40534063,0.02130125332997611
weight,34567668,0.021279599000319425
paris,33657184,0.021274122112868478
consequence,18651720,0.02125896637909869
pleasure,21062582,0.021185340035368348
relations,45864178,0.021163976290184534
governor,26871571,0.02110431600230947
analysis,60925085,0.021091173652647267
relation,37270221,0.02097976790764053
volume,40355644,0.020868601057669894
charge,30827677,0.020809294380749598
measure,26595474,0.020749565770104245
member,40216296,0.020744535581227075
passage,24075713,0.020728548277999158
motion,27619978,0.020690229864446796
english,29740924,0.02057858295512412
industry,46486737,0.020570413644599644
pressure,47245681,0.02053707224415182
doctrine,21153603,0.020463651723970806
source,45110735,0.02046171895814864
hope,23828640,0.020415177345192752
iron,30370578,0.0202624660939954
july,37905118,0.020247202834162707
rome,21196803,0.020234946455917453
design,38208018,0.02022345992829436
sort,29334452,0.020099327408487012
congress,39225593,0.020076482508214304
affairs,29723906,0.02006830391528159
department,49228775,0.020058147016830702
note,34383186,0.020041095122389867
addition,44510063,0.02002977872303499
door,35389780,0.02001296298116307
battle,25498252,0.019980318842988832
evening,26507275,0.019945235535347806
liberty,18021405,0.01994458356607494
expression,34795376,0.019941697267223446
market,49495405,0.019880605958995417
possession,18922137,0.019744770997660983
description,28241191,0.0197002493271343
majesty,11493912,0.01964893922054996
advantage,25264552,0.019644963612768934
names,28766376,0.019586817068691798
stone,27117757,0.01954988927369928
danger,22122286,0.019487954816681002
numbers,34004818,0.019475078630117198
grace,16428291,0.019414275994566965
application,35041351,0.019382914423394286
ship,24249007,0.019367298338985553
solution,44030773,0.0193487932410306
activity,48664416,0.019298170061757762
administration,37889307,0.019260087621856024
heat,30188825,0.019208478595375354
thought,32935724,0.019171795734921004
title,27757622,0.019166420495433687
building,37186338,0.019118922344700095
consideration,25521247,0.019011050309537352
command,25106311,0.019000082978064197
answer,27006025,0.018962697687279966
basis,49702790,0.018953181520128225
april,35477554,0.018922671456137265
quantity,20939153,0.018838778776784342
latter,23361065,0.01880390994363348
meeting,32256546,0.018748437812961358
difficulty,24784323,0.018729239714661252
division,33096001,0.018713591087380053
x,51169932,0.018672968745736023
stage,40906671,0.01860021403890793
feeling,26919227,0.018577570797927413
paul,29176884,0.01845562188600978
horse,22460933,0.018373334664332865
reference,34856701,0.018315102281655483
ways,39944589,0.018304433245556483
labor,44764545,0.018241578324572003
husband,28760460,0.0182184678262845
wood,25774050,0.01821297155835131
daughter,24803862,0.01816983871185076
temperature,40402791,0.018163687894868056
opportunity,27892476,0.018161887291949903
marriage,29776413,0.018087057587098297
crown,17752278,0.018043565206751145
sight,21159822,0.01800573098681889
necessity,19543860,0.017974404866008334
district,33366392,0.01796594926473343
village,29367146,0.017963310225253326
article,31761814,0.01796007365068894
proportion,22768447,0.017957931615209356
increase,36638770,0.01787401765786679
cost,45014612,0.017788940121541065
freedom,32817808,0.01775310199878363
acts,23153577,0.017704828551449614
quality,37702538,0.017700286927410422
style,28262490,0.017691298222240966
function,51216861,0.017676709048716197
management,44929503,0.017656143899812776
speech,30873672,0.017622089715828165
washington,39358794,0.017608921872790895
sin,15127743,0.017589633942716107
britain,27834520,0.01756841939095523
commission,35168779,0.01748920444658583
patient,38555542,0.017478040293581763
de,24614472,0.017471770635709528
desire,24681958,0.017317126453368806
notice,20456370,0.017311786601743335
soil,29235598,0.01725894732050833
page,31860628,0.017227861520024246
music,36940670,0.01710263934381396
variety,28538364,0.017088990403736785
literature,35912044,0.017074806977014155
labour,26228452,0.017068181430520416
acid,26524747,0.017031921236203704
model,48489127,0.016998073870367156
elements,37657168,0.016983526539255868
program,54286732,0.016931944604399663
honour,10618456,0.016928403321510625
feelings,21396381,0.01689842972068523
need,40654211,0.016875738940407968
date,33635462,0.01686534141732013
meaning,30887175,0.016776714650087052
association,41620849,0.016761289885725693
empire,21341330,0.01675531098355289
organization,45479064,0.016751402148626703
mass,28230244,0.016737949766329672
oil,37193923,0.01668988079940128
mary,25411747,0.016657779151199627
foot,21046708,0.016607220096174526
robert,29903942,0.016595474882529902
officer,25136944,0.016527601546930858
wall,31452091,0.01651775645016904
region,38610412,0.016511242380686988
beauty,20022398,0.016500792414819148
half,26361114,0.01647134759565442
emperor,16549762,0.016470777592759108
month,25312190,0.016460396788268727
attempt,26824943,0.016412876816751337
statement,35408010,0.016406654966348945
income,44769679,0.01637627837170528
revolution,29472355,0.01635171655289506
hill,25307862,0.016335637356664472
middle,29978917,0.016307828933301117
coast,22157104,0.016304481703194887
values,49372396,0.01627253177568092
race,25291774,0.016256258544068248
j,27704245,0.01624794339659441
piece,24274679,0.01623400517056357
memory,26656319,0.016233125791048554
east,30288705,0.016210968425181986
assembly,22335477,0.01617988982334356
august,30149855,0.016166312421836266
virtue,15132628,0.01615572373954946
pain,26102595,0.01612151400168028
french,19975091,0.016106145485554904
mouth,23153013,0.01609870200879844
chief,23762294,0.01608391744505595
germany,32304067,0.016079537466407938
hall,26800889,0.01607338294152407
fear,23576142,0.01607323242590399
summer,28490294,0.01606796158695656
picture,30850102,0.016039994479636673
decision,37885718,0.016027811181808817
origin,24745424,0.016004480884820455
front,29687298,0.01598471546137956
security,30730000,0.015983744472148013
glory,12046831,0.0159788773788409
scene,22721473,0.01595608589915218
national,44314183,0.015952245101577202
week,30644509,0.015942872351044506
sum,19961785,0.01593135529475022
gold,21876801,0.015842533600747517
spring,25855551,0.015821937918445713
philosophy,27267578,0.01581747833996417
boy,29862603,0.015809067286264883
whole,17026977,0.015765244470137316
winter,24242016,0.015754599476462176
tree,24432353,0.01574948490501809
reader,21331514,0.015593187262427676
mode,18662315,0.015576447303244317
january,30787040,0.01555292534761818
protection,26519289,0.015538102165903957
october,30475541,0.015535195612945802
argument,24369746,0.015492100146185671
journal,37575569,0.015486860831099201
range,38388218,0.015486307717647144
spain,17623021,0.01545603368234719
discussion,36359425,0.015434720462268063
e,31219552,0.015380407374449913
tax,37588498,0.015371964042550042
stock,30704740,0.01535161701200403
text,32050770,0.015318656129646016
secretary,28538097,0.015293798135771234
edition,22118587,0.015274530773980973
beginning,25685764,0.015227295413618908
issue,33203495,0.015198013285437266
earl,10629614,0.015195435883035869
gentleman,12109041,0.01515172104707346
approach,36541881,0.015050113096051526
test,39591180,0.015019316931611505
operations,27395561,0.015001007343280439
construction,31755508,0.014983744569069923
september,29429925,0.01497731357705228
distribution,39326711,0.014930590965347653
opposition,20556207,0.014861485339023008
estate,20253656,0.014839826879668916
edward,18579875,0.014829447186033943
ireland,15180444,0.014810915737327558
writer,21209647,0.014808772624444529
role,47788248,0.014788980162391708
base,29376705,0.01478866336132852
december,29948204,0.014700846396376553
happiness,12699056,0.014687214100997084
minutes,29646150,0.014664267969884974
confidence,18243005,0.014656514851044347
plant,32664198,0.014621496446092752
miss,22473868,0.014592145565678918
proof,16101242,0.014586952247650718
event,23019139,0.01453413309016093
majority,28508272,0.014528102859048469
trial,21450302,0.014524130882789815
aid,24324050,0.014469991420135643
step,27700444,0.014402515651753843
library,31357635,0.014375176461908393
list,30903270,0.014371330071165082
treaty,19292929,0.014321691612701968
pope,13911540,0.014265842597825071
understanding,26767175,0.01424468062658766
glass,23634267,0.014195415095606845
performance,33941329,0.01415298084044157
effort,29962352,0.01414038002671678
