,category,word,year
566,fairness+,impartiality,1860
567,fairness+,impartiality,1870
568,fairness+,impartiality,1880
569,fairness+,impartiality,1890
570,fairness+,impartiality,1900
571,fairness+,impartiality,1910
572,fairness+,impartiality,1920
573,fairness+,impartiality,1930
574,fairness+,impartiality,1940
575,fairness+,impartiality,1950
576,fairness+,impartiality,1960
577,fairness+,impartiality,1970
578,fairness+,impartiality,1980
579,fairness+,impartiality,1990
580,fairness+,impartial,1800
581,fairness+,impartial,1810
582,fairness+,impartial,1820
583,fairness+,impartial,1830
584,fairness+,impartial,1840
585,fairness+,impartial,1850
586,fairness+,impartial,1860
587,fairness+,impartial,1870
588,fairness+,impartial,1880
589,fairness+,impartial,1890
590,fairness+,impartial,1900
591,fairness+,impartial,1910
592,fairness+,impartial,1920
593,fairness+,impartial,1930
594,fairness+,impartial,1940
595,fairness+,impartial,1950
596,fairness+,impartial,1960
597,fairness+,impartial,1970
598,fairness+,impartial,1980
599,fairness+,impartial,1990
600,fairness+,rights,1800
601,fairness+,rights,1810
602,fairness+,rights,1820
603,fairness+,rights,1830
604,fairness+,rights,1840
605,fairness+,rights,1850
606,fairness+,rights,1860
607,fairness+,rights,1870
608,fairness+,rights,1880
609,fairness+,rights,1890
610,fairness+,rights,1900
611,fairness+,rights,1910
612,fairness+,rights,1920
613,fairness+,rights,1930
614,fairness+,rights,1940
615,fairness+,rights,1950
616,fairness+,rights,1960
617,fairness+,rights,1970
618,fairness+,rights,1980
619,fairness+,rights,1990
620,fairness+,equity,1800
621,fairness+,equity,1810
622,fairness+,equity,1820
623,fairness+,equity,1830
624,fairness+,equity,1840
625,fairness+,equity,1850
626,fairness+,equity,1860
627,fairness+,equity,1870
628,fairness+,equity,1880
629,fairness+,equity,1890
630,fairness+,equity,1900
631,fairness+,equity,1910
632,fairness+,equity,1920
633,fairness+,equity,1930
634,fairness+,equity,1940
635,fairness+,equity,1950
636,fairness+,equity,1960
637,fairness+,equity,1970
638,fairness+,equity,1980
639,fairness+,equity,1990
640,fairness+,equivalent,1800
641,fairness+,equivalent,1810
642,fairness+,equivalent,1820
643,fairness+,equivalent,1830
644,fairness+,equivalent,1840
645,fairness+,equivalent,1850
646,fairness+,equivalent,1860
647,fairness+,equivalent,1870
648,fairness+,equivalent,1880
649,fairness+,equivalent,1890
650,fairness+,equivalent,1900
651,fairness+,equivalent,1910
652,fairness+,equivalent,1920
653,fairness+,equivalent,1930
654,fairness+,equivalent,1940
655,fairness+,equivalent,1950
656,fairness+,equivalent,1960
657,fairness+,equivalent,1970
658,fairness+,equivalent,1980
659,fairness+,equivalent,1990
660,fairness+,balance,1800
661,fairness+,balance,1810
662,fairness+,balance,1820
663,fairness+,balance,1830
664,fairness+,balance,1840
665,fairness+,balance,1850
666,fairness+,balance,1860
667,fairness+,balance,1870
668,fairness+,balance,1880
669,fairness+,balance,1890
670,fairness+,balance,1900
671,fairness+,balance,1910
672,fairness+,balance,1920
673,fairness+,balance,1930
674,fairness+,balance,1940
675,fairness+,balance,1950
676,fairness+,balance,1960
677,fairness+,balance,1970
678,fairness+,balance,1980
679,fairness+,balance,1990
680,fairness+,reasonable,1800
681,fairness+,reasonable,1810
682,fairness+,reasonable,1820
683,fairness+,reasonable,1830
684,fairness+,reasonable,1840
685,fairness+,reasonable,1850
686,fairness+,reasonable,1860
687,fairness+,reasonable,1870
688,fairness+,reasonable,1880
689,fairness+,reasonable,1890
690,fairness+,reasonable,1900
691,fairness+,reasonable,1910
692,fairness+,reasonable,1920
693,fairness+,reasonable,1930
694,fairness+,reasonable,1940
695,fairness+,reasonable,1950
696,fairness+,reasonable,1960
697,fairness+,reasonable,1970
698,fairness+,reasonable,1980
699,fairness+,reasonable,1990
700,fairness+,constant,1800
701,fairness+,constant,1810
702,fairness+,constant,1820
703,fairness+,constant,1830
704,fairness+,constant,1840
705,fairness+,constant,1850
706,fairness+,constant,1860
707,fairness+,constant,1870
708,fairness+,constant,1880
709,fairness+,constant,1890
710,fairness+,constant,1900
711,fairness+,constant,1910
712,fairness+,constant,1920
713,fairness+,constant,1930
714,fairness+,constant,1940
715,fairness+,constant,1950
716,fairness+,constant,1960
717,fairness+,constant,1970
718,fairness+,constant,1980
719,fairness+,constant,1990
720,fairness+,honest,1800
721,fairness+,honest,1810
722,fairness+,honest,1820
723,fairness+,honest,1830
724,fairness+,honest,1840
725,fairness+,honest,1850
726,fairness+,honest,1860
727,fairness+,honest,1870
728,fairness+,honest,1880
729,fairness+,honest,1890
730,fairness+,honest,1900
731,fairness+,honest,1910
732,fairness+,honest,1920
733,fairness+,honest,1930
734,fairness+,honest,1940
735,fairness+,honest,1950
736,fairness+,honest,1960
737,fairness+,honest,1970
738,fairness+,honest,1980
739,fairness+,honest,1990
740,loyalty+,together,1800
741,loyalty+,together,1810
742,loyalty+,together,1820
743,loyalty+,together,1830
744,loyalty+,together,1840
745,loyalty+,together,1850
746,loyalty+,together,1860
747,loyalty+,together,1870
748,loyalty+,together,1880
749,loyalty+,together,1890
750,loyalty+,together,1900
751,loyalty+,together,1910
752,loyalty+,together,1920
753,loyalty+,together,1930
754,loyalty+,together,1940
755,loyalty+,together,1950
756,loyalty+,together,1960
757,loyalty+,together,1970
758,loyalty+,together,1980
759,loyalty+,together,1990
760,loyalty+,nation,1800
761,loyalty+,nation,1810
762,loyalty+,nation,1820
763,loyalty+,nation,1830
764,loyalty+,nation,1840
765,loyalty+,nation,1850
766,loyalty+,nation,1860
767,loyalty+,nation,1870
768,loyalty+,nation,1880
769,loyalty+,nation,1890
770,loyalty+,nation,1900
771,loyalty+,nation,1910
772,loyalty+,nation,1920
773,loyalty+,nation,1930
774,loyalty+,nation,1940
775,loyalty+,nation,1950
